SECCION,anio,lista_nominal,total_votos,votos_validos,nulos,votos_morena,votos_pan,votos_pri,votos_otros,pct_morena,pct_pan,pct_pri,pct_otros,participacion,ganador
2460,2018,,1314,1156,158,368.0,244.0,519,16.0,31.83,21.11,44.9,1.38,,PRI
2461,2018,,1207,1167,40,332.0,254.0,557,15.0,28.45,21.77,47.73,1.29,,PRI
2462,2018,,1096,1056,40,300.0,193.0,531,18.0,28.41,18.28,50.28,1.7,,PRI
2463,2018,,1146,1111,35,333.0,218.0,532,14.0,29.97,19.62,47.88,1.26,,PRI
2464,2018,,453,436,17,85.0,92.0,245,4.0,19.5,21.1,56.19,0.92,,PRI
2465,2018,,1444,1394,50,434.0,254.0,670,18.0,31.13,18.22,48.06,1.29,,PRI
2466,2018,,884,858,26,230.0,154.0,455,7.0,26.81,17.95,53.03,0.82,,PRI
2467,2018,,847,816,31,243.0,189.0,370,6.0,29.78,23.16,45.34,0.74,,PRI
2468,2018,,3602,3361,241,1109.0,609.0,1519,76.0,33.0,18.12,45.19,2.26,,PRI
2469,2018,,705,693,12,157.0,152.0,367,9.0,22.66,21.93,52.96,1.3,,PRI
2470,2018,,1180,1125,55,150.0,602.0,327,38.0,13.33,53.51,29.07,3.38,,PAN
2471,2018,,1379,1239,140,360.0,338.0,470,28.0,29.06,27.28,37.93,2.26,,PRI
2472,2018,,1551,1407,144,306.0,389.0,636,30.0,21.75,27.65,45.2,2.13,,PRI
2473,2018,,1212,1124,88,236.0,357.0,469,32.0,21.0,31.76,41.73,2.85,,PRI
2474,2018,,1119,1054,65,194.0,259.0,520,53.0,18.41,24.57,49.34,5.03,,PRI
2475,2018,,1328,1268,60,272.0,428.0,523,19.0,21.45,33.75,41.25,1.5,,PRI
2476,2018,,803,757,46,197.0,377.0,147,19.0,26.02,49.8,19.42,2.51,,PAN
2477,2018,,700,665,35,172.0,235.0,219,26.0,25.86,35.34,32.93,3.91,,PAN
2478,2018,,2474,2341,133,739.0,528.0,1024,24.0,31.57,22.55,43.74,1.03,,PRI
2479,2018,,2058,1960,98,567.0,433.0,877,50.0,28.93,22.09,44.74,2.55,,PRI
2480,2018,,2680,2565,115,737.0,555.0,1158,57.0,28.73,21.64,45.15,2.22,,PRI
2481,2018,,2999,2821,178,796.0,555.0,1383,37.0,28.22,19.67,49.03,1.31,,PRI
2482,2018,,1270,1186,84,270.0,252.0,621,28.0,22.77,21.25,52.36,2.36,,PRI
2483,2018,,764,723,41,189.0,218.0,270,30.0,26.14,30.15,37.34,4.15,,PRI
2484,2018,,2281,2174,107,665.0,469.0,955,57.0,30.59,21.57,43.93,2.62,,PRI
2485,2018,,1178,1124,54,364.0,297.0,427,19.0,32.38,26.42,37.99,1.69,,PRI
2486,2018,,1099,1018,81,296.0,324.0,336,38.0,29.08,31.83,33.01,3.73,,PRI
2487,2018,,1280,1194,86,318.0,356.0,485,10.0,26.63,29.82,40.62,0.84,,PRI
2488,2018,,483,449,34,30.0,270.0,110,8.0,6.68,60.13,24.5,1.78,,PAN
2489,2018,,578,534,44,66.0,241.0,209,2.0,12.36,45.13,39.14,0.37,,PAN
2460,2021,1825.0,982,950,32,292.0,99.0,212,346.0,30.74,10.42,22.32,36.42,53.81,OTROS
2461,2021,1730.0,996,956,40,311.0,105.0,231,309.0,32.53,10.98,24.16,32.32,57.57,MORENA
2462,2021,1565.0,923,890,33,251.0,91.0,161,382.0,28.2,10.22,18.09,42.92,58.98,OTROS
2463,2021,1689.0,1009,974,35,308.0,99.0,217,350.0,31.62,10.16,22.28,35.93,59.74,OTROS
2464,2021,637.0,408,400,8,109.0,55.0,122,114.0,27.25,13.75,30.5,28.5,64.05,PRI
2465,2021,2158.0,1281,1237,44,343.0,158.0,302,434.0,27.73,12.77,24.41,35.08,59.36,OTROS
2466,2021,1286.0,748,733,15,236.0,98.0,225,174.0,32.2,13.37,30.7,23.74,58.16,MORENA
2467,2021,1355.0,785,760,25,198.0,86.0,209,266.0,26.05,11.32,27.5,35.0,57.93,OTROS
2468,2021,5711.0,3048,2897,151,954.0,231.0,638,1074.0,32.93,7.97,22.02,37.07,53.37,OTROS
2469,2021,1938.0,712,688,24,229.0,77.0,173,208.0,33.28,11.19,25.15,30.23,36.74,MORENA
2470,2021,1975.0,845,801,44,186.0,137.0,193,285.0,23.22,17.1,24.09,35.58,42.78,OTROS
2471,2021,2129.0,1139,1047,92,257.0,47.0,327,416.0,24.55,4.49,31.23,39.73,53.5,OTROS
2472,2021,2606.0,1421,1307,114,236.0,79.0,635,357.0,18.06,6.04,48.58,27.31,54.53,PRI
2473,2021,2025.0,843,803,40,151.0,51.0,275,326.0,18.8,6.35,34.25,40.6,41.63,OTROS
2474,2021,1781.0,904,852,52,92.0,60.0,330,370.0,10.8,7.04,38.73,43.43,50.76,OTROS
2475,2021,2086.0,986,934,52,271.0,72.0,355,236.0,29.01,7.71,38.01,25.27,47.27,PRI
2476,2021,1224.0,605,585,20,178.0,28.0,182,197.0,30.43,4.79,31.11,33.68,49.43,OTROS
2477,2021,1034.0,573,546,27,94.0,42.0,128,282.0,17.22,7.69,23.44,51.65,55.42,OTROS
2478,2021,3726.0,2113,2008,105,519.0,138.0,518,833.0,25.85,6.87,25.8,41.48,56.71,OTROS
2479,2021,2977.0,1634,1573,61,318.0,122.0,459,673.0,20.22,7.76,29.18,42.78,54.89,OTROS
2480,2021,4139.0,2192,2106,86,447.0,137.0,547,975.0,21.23,6.51,25.97,46.3,52.96,OTROS
2481,2021,4657.0,2567,2449,118,732.0,181.0,518,1009.0,29.89,7.39,21.15,41.2,55.12,OTROS
2482,2021,1790.0,1109,1062,47,195.0,45.0,228,593.0,18.36,4.24,21.47,55.84,61.96,OTROS
2483,2021,1125.0,613,595,18,137.0,40.0,186,229.0,23.03,6.72,31.26,38.49,54.49,OTROS
2484,2021,3765.0,1864,1764,100,594.0,131.0,420,619.0,33.67,7.43,23.81,35.09,49.51,OTROS
2485,2021,1659.0,915,876,39,268.0,94.0,243,271.0,30.59,10.73,27.74,30.94,55.15,OTROS
2486,2021,1698.0,873,834,39,267.0,120.0,225,221.0,32.01,14.39,26.98,26.5,51.41,MORENA
2487,2021,1819.0,1126,1054,72,257.0,231.0,316,250.0,24.38,21.92,29.98,23.72,61.9,PRI
2488,2021,654.0,457,424,33,83.0,23.0,208,110.0,19.58,5.42,49.06,25.94,69.88,PRI
2489,2021,860.0,490,445,45,104.0,72.0,115,154.0,23.37,16.18,25.84,34.61,56.98,OTROS
2460,2024,,1165,1081,84,688.0,346.0,0,46.0,63.64,32.01,0.0,4.26,,MORENA
2461,2024,,1135,1062,73,670.0,343.0,0,48.0,63.09,32.3,0.0,4.52,,MORENA
2462,2024,,1091,1015,76,579.0,382.0,0,52.0,57.04,37.64,0.0,5.12,,MORENA
2463,2024,,1109,1037,72,609.0,379.0,0,49.0,58.73,36.55,0.0,4.73,,MORENA
2464,2024,,426,400,26,269.0,119.0,0,12.0,67.25,29.75,0.0,3.0,,MORENA
2465,2024,,1495,1413,82,875.0,489.0,0,49.0,61.92,34.61,0.0,3.47,,MORENA
2466,2024,,904,849,55,526.0,295.0,0,27.0,61.96,34.75,0.0,3.18,,MORENA
2467,2024,,962,915,47,589.0,289.0,0,36.0,64.37,31.58,0.0,3.93,,MORENA
2469,2024,,665,628,37,386.0,207.0,0,34.0,61.46,32.96,0.0,5.41,,MORENA
2470,2024,,1134,1066,68,553.0,502.0,0,11.0,51.88,47.09,0.0,1.03,,MORENA
2471,2024,,1277,1134,143,831.0,282.0,0,21.0,73.28,24.87,0.0,1.85,,MORENA
2472,2024,,1711,1527,184,744.0,732.0,0,51.0,48.72,47.94,0.0,3.34,,MORENA
2473,2024,,1105,993,112,600.0,362.0,0,31.0,60.42,36.46,0.0,3.12,,MORENA
2474,2024,,1027,955,72,500.0,411.0,0,44.0,52.36,43.04,0.0,4.61,,MORENA
2475,2024,,1246,1166,80,706.0,410.0,0,50.0,60.55,35.16,0.0,4.29,,MORENA
2476,2024,,809,776,33,462.0,268.0,0,46.0,59.54,34.54,0.0,5.93,,MORENA
2477,2024,,638,602,36,320.0,261.0,0,21.0,53.16,43.36,0.0,3.49,,MORENA
2478,2024,,2383,2199,184,1549.0,568.0,0,82.0,70.44,25.83,0.0,3.73,,MORENA
2480,2024,,2840,2618,222,1658.0,891.0,0,68.0,63.33,34.03,0.0,2.6,,MORENA
2481,2024,,3301,3082,219,1848.0,1070.0,0,155.0,59.96,34.72,0.0,5.03,,MORENA
2482,2024,,1297,1199,98,627.0,547.0,0,24.0,52.29,45.62,0.0,2.0,,MORENA
2483,2024,,706,649,57,440.0,191.0,0,18.0,67.8,29.43,0.0,2.77,,MORENA
2484,2024,,2409,2213,196,1465.0,674.0,0,71.0,66.2,30.46,0.0,3.21,,MORENA
2485,2024,,1203,1131,72,825.0,266.0,0,40.0,72.94,23.52,0.0,3.54,,MORENA
2486,2024,,1142,1084,58,792.0,244.0,0,47.0,73.06,22.51,0.0,4.34,,MORENA
2487,2024,,1253,1141,112,644.0,461.0,0,36.0,56.44,40.4,0.0,3.16,,MORENA
2488,2024,,452,387,65,264.0,113.0,0,10.0,68.22,29.2,0.0,2.58,,MORENA
2489,2024,,525,458,67,287.0,167.0,0,4.0,62.66,36.46,0.0,0.87,,MORENA
